Trace,Policy,Cores,Size,Ways,IPC,Cycles,L1_Miss_Rate,L2_Miss_Rate,LLC_Miss_Rate,LLC_Hit_Rate,LLC_MPKI,LLC_Writes
401.bzip2-38B.champsimtrace.xz,adaptive_hcit,1core,1MB,16way,2.8098549999999998,11000253,0.0661024713272493,0.21843742323928778,0.4747455576380157,0.5252544423619843,2.0011,3926
401.bzip2-38B.champsimtrace.xz,adaptive_hcit,1core,2MB,16way,2.89722,10648889,0.0660255082482131,0.21843617543899735,0.44188749970344715,0.5581125002965529,1.8626,3926
401.bzip2-38B.champsimtrace.xz,adaptive_hcit,1core,2MB,8way,2.8158779999999997,10972144,0.06609635954339839,0.21843742323928778,0.4720647196982278,0.5279352803017722,1.9898,3926
401.bzip2-38B.champsimtrace.xz,adaptive_hcit,1core,4MB,16way,2.89722,10648889,0.0660255082482131,0.21843617543899735,0.44188749970344715,0.5581125002965529,1.8626,3926
401.bzip2-38B.champsimtrace.xz,adaptive_hcit,1core,8MB,16way,2.89722,10648889,0.0660255082482131,0.21843617543899735,0.44188749970344715,0.5581125002965529,1.8626,3926
401.bzip2-38B.champsimtrace.xz,lru,1core,1MB,16way,2.7927299999999997,11079425,0.06612165790612298,0.21843742323928778,0.49336907783919715,0.5066309221608029,2.0796,3926
401.bzip2-38B.champsimtrace.xz,lru,1core,2MB,16way,2.89722,10648889,0.0660255082482131,0.21843617543899735,0.44188749970344715,0.5581125002965529,1.8626,3926
401.bzip2-38B.champsimtrace.xz,lru,1core,2MB,8way,2.7961229999999997,11066160,0.06611802439247143,0.21843742323928778,0.49104410334274395,0.508955896657256,2.0698,3926
401.bzip2-38B.champsimtrace.xz,lru,1core,4MB,16way,2.89722,10648889,0.0660255082482131,0.21843617543899735,0.44188749970344715,0.5581125002965529,1.8626,3926
401.bzip2-38B.champsimtrace.xz,lru,1core,8MB,16way,2.89722,10648889,0.0660255082482131,0.21843617543899735,0.44188749970344715,0.5581125002965529,1.8626,3926
401.bzip2-38B.champsimtrace.xz,mru,1core,1MB,16way,2.75479,11287878,0.06617774367487834,0.218444383511562,0.5766511672044031,0.4233488327955969,2.4307,3926
